Method,Accuracy,Accuracy_std,F1_macro,F1_macro_std,F1_weighted,F1_w_std
Formula (Report),0.5199,0.0000,0.4690,0.0000,0.4701,0.0000
Random Forest,0.7396,0.0232,0.7345,0.0237,0.7346,0.0232
SVM (RBF),0.3490,0.0108,0.2017,0.0133,0.2018,0.0151
Gradient Boosting,0.7483,0.0290,0.7462,0.0278,0.7462,0.0283
MLP,0.6546,0.0630,0.6514,0.0630,0.6513,0.0637
KNN,0.7067,0.0334,0.6989,0.0326,0.6989,0.0334
Logistic Regression,0.7014,0.0255,0.6970,0.0276,0.6972,0.0278
Extra Trees,0.7361,0.0233,0.7310,0.0230,0.7311,0.0227
HistGradientBoosting,0.7448,0.0109,0.7432,0.0102,0.7432,0.0108
QDA,0.5816,0.0300,0.5345,0.0360,0.5343,0.0372
Gaussian NB,0.5487,0.0419,0.5091,0.0503,0.5092,0.0502
Bagging,0.7240,0.0265,0.7213,0.0260,0.7214,0.0260
XGBoost,0.7344,0.0256,0.7326,0.0235,0.7327,0.0236
LightGBM,0.7431,0.0233,0.7406,0.0224,0.7406,0.0233
Voting Ensemble,0.7066,0.0236,0.6959,0.0248,0.6958,0.0249
Stacking Ensemble,0.7570,0.0294,0.7566,0.0277,0.7568,0.0275
